date	iso2c	res	exr	d_exr	capital_gains
2014-01-01	PH	79540.5808399341	44.617	0.20299999999999585	16886.968587830037
2015-01-01	PH	80666.865414277	47.166	2.5489999999999995	202748.940560992
2016-01-01	PH	80691.788890632	49.813	2.6470000000000056	213525.19275159165
2017-01-01	PH	81565.3363023898	49.923	0.10999999999999943	8876.096777969475
2018-01-01	PH	79193.3716390345	52.724	2.800999999999995	228464.5069829934
2002-01-01	PK	8761.99658051643	58.53385	NA	NA
2003-01-01	PK	11673.7977355551	57.215	-1.3188499999999976	-11555.759190214074
2004-01-01	PK	10616.0391608359	59.124	1.908999999999999	22285.27987717467
2005-01-01	PK	10947.8577750085	59.82995	0.7059499999999943	7494.392845592043
2006-01-01	PK	12816.2601412988	60.9182	1.0882500000000022	11914.006223653025
2007-01-01	PK	15689.4727465617	61.2207	0.302500000000002	3876.9186927429128
2008-01-01	PK	8903.02628338555	79.098	17.877299999999998	280485.41113210743
2009-01-01	PK	13770.6058541282	84.2634	5.165400000000005	45987.69196419977
2010-01-01	PK	17210.3274311256	85.7108	1.4474000000000018	19931.57491326518
2011-01-01	PK	18094.1463969366	89.9679	4.257099999999994	73266.08490704469
2012-01-01	PK	13796.789071884	97.1361	7.168199999999999	129702.46020252092
2013-01-01	PK	7821.52393762726	105.6782	8.542100000000005	117853.55193094039
2014-01-01	PK	14293.3752206176	100.4586	-5.2196	-40825.22634483925
2015-01-01	PK	20045.1008502331	104.8655	4.406899999999993	62989.4752597396
2016-01-01	PK	22050.067874362	104.813	-0.052499999999994884	-1052.3677946371351
2017-01-01	PK	18455.4823834284	110.43275	5.619749999999996	123915.86893694577
2018-01-01	PK	11708.8377957541	138.79215	28.359399999999994	523386.40710459923
2019-01-01	PK	16462.7742060669	154.86565	16.073499999999996	188202.00431005348
2002-01-01	PL	29783.7028753915	3.8388	NA	NA
2003-01-01	PL	33959.6182132397	3.7408	-0.097999999999999865	-2918.802881788363
2004-01-01	PL	36772.6594133981	2.9904	-0.7504	-25483.29750721507
2005-01-01	PL	42560.8523011177	3.2613	0.2708999999999997	9961.713435089534
2006-01-01	PL	48474.1525788457	2.9105	-0.3508	-14930.34698723209
2007-01-01	PL	65734.1895245349	2.435	-0.4754999999999998	-23049.45955124112
2008-01-01	PL	62167.7039335405	2.9618	0.5268000000000002	34628.771041525
2009-01-01	PL	79576.193849465	2.8503	-0.11150000000000038	-6931.698988589789
2010-01-01	PL	93488.221414386	2.9641	0.11380000000000035	9055.770860069144
2011-01-01	PL	97856.3730970065	3.4174	0.45330000000000004	42378.21076714118
2012-01-01	PL	108902.203542518	3.0996	-0.3178000000000001	-31098.75537022867
2013-01-01	PL	106211.564298478	3.012	-0.08760000000000012	-9539.83303032459
2014-01-01	PL	100430.083272953	3.5072	0.4952000000000001	52595.96664060631
2015-01-01	PL	94910.0761504186	3.9011	0.3938999999999999	39559.40980121618
2016-01-01	PL	114372.23497047	4.1793	0.27819999999999956	26403.98318504641
2017-01-01	PL	113267.368124109	3.4813	-0.6979999999999995	-79831.820009388
2018-01-01	PL	116956.623722589	3.7597	0.2784	31533.63528575194
2019-01-01	PL	128392.157886771	3.7977	0.03799999999999981	4444.35170145836
2002-01-01	QA	1573.47267575019	3.64	NA	NA
2003-01-01	QA	2952.09433192012	3.64	0	0
2004-01-01	QA	3414.20747132329	3.64	0	0
2005-01-01	QA	4552.25744198202	3.64	0	0
2006-01-01	QA	5394.83089469789	3.64	0	0
2007-01-01	QA	9751.62669886229	3.64	0	0
2008-01-01	QA	9997.53794206139	3.64	0	0
2009-01-01	QA	18805.754031067	3.64	0	0
2010-01-01	QA	31187.246729	3.64	0	0
2011-01-01	QA	16824.5675436319	3.64	0	0
2012-01-01	QA	33189.2393608494	3.64	0	0
2013-01-01	QA	42202.8225220309	3.64	0	0
2014-01-01	QA	43324.835776874	3.64	0	0
2015-01-01	QA	37258.0297650352	3.64	0	0
2016-01-01	QA	31888.8769066908	3.64	0	0
2017-01-01	QA	15013.7464785883	3.64	0	0
2018-01-01	QA	30354.8843713981	3.64	0	0
2019-01-01	QA	39707.8235891327	3.64	0	0
2002-01-01	RO	7305.29508042939	3.35	NA	NA
2003-01-01	RO	9450.22454934238	3.2595	-0.09050000000000002	-661.12920477886
2004-01-01	RO	16096.1681551606	2.9067	-0.3528000000000002	-3334.0392210079935
2005-01-01	RO	21600.2597350141	3.1078	0.20110000000000028	3236.939416002801
2006-01-01	RO	30206.5468587066	2.5676	-0.5402	-11668.460308854617
2007-01-01	RO	39956.4969689892	2.4564	-0.11120000000000019	-3358.9680106881797
2008-01-01	RO	39750.0672590995	2.8342	0.37780000000000014	15095.564554884126
2009-01-01	RO	44436.8938395597	2.9361	0.1019000000000001	4050.531853702243
2010-01-01	RO	48065.3527026969	3.2045	0.26839999999999975	11926.862306537812
